Ticker,Name,wiki_code
RNO,RENOLD PLC,unknown
RNWH,RENEW HOLDINGS PLC,unknown
ROR,ROTORK PLC,Q7370594
RS1,RS GROUP PLC,unknown
RST,RESTORE PLC,unknown
RSW,RENISHAW PLC,Q7313261
RTC,RTC GROUP PLC,unknown
RTO,RENTOKIL INITIAL PLC,Q2622493
RUA,RUA LIFE SCIENCES PLC,unknown
RWA,ROBERT WALTERS PLC,unknown
RWI,RENEWI PLC,Q30666445
RWS,RWS HOLDINGS PLC,unknown
SAA,M&C SAATCHI PLC,Q5367046
SAG,SCIENCE GROUP PLC,unknown
SAL,SPACEANDPEOPLE PLC,unknown
SAR,SAREUM HOLDINGS PLC,unknown
SBRY,SAINSBURY (J) PLC,unknown
SCE,SURFACE TRANSFORMS PLC,unknown
SCLP,SCANCELL HOLDINGS PLC,unknown
SDG,SANDERSON DESIGN GROUP PLC,unknown
SDI,SDI GROUP PLC,unknown
SDR,SCHRODERS PLC,Q1142797
SDY,SPEEDY HIRE PLC,Q7575722
SENX,SERINUS ENERGY PLC,unknown
SFR,SEVERFIELD PLC,Q7457862
SGE,SAGE GROUP PLC/THE,unknown
SHEL,SHELL PLC,Q154950
SHI,SIG PLC,unknown
SKA,SHUKA MINERALS PLC,unknown
SLP,SYLVANIA PLATINUM LTD,unknown
SMDS,DS SMITH PLC,unknown
SMIN,SMITHS GROUP PLC,Q2295406
SMJ,SMART (J) & CO (CONTRACTORS),unknown
SMWH,WH SMITH PLC,unknown
SNG,SYNAIRGEN PLC,unknown
SNR,SENIOR PLC,unknown
SNT,SABIEN TECHNOLOGY GROUP PLC,unknown
SNWS,SMITHS NEWS PLC,Q7545580
SNX,SYNECTICS PLC,unknown
SOLI,SOLID STATE PLC,unknown
SOM,SOMERO ENTERPRISES INC- REGS,unknown
SPA,1SPATIAL PLC,Q30298141
SPSC,SPECTRA SYSTEMS CORP-REG S,unknown
SPSY,SPECTRA SYSTEMS CORP,unknown
SPT,SPIRENT COMMUNICATIONS PLC,unknown
SPX,SPIRAX GROUP PLC,unknown
SRB,SERABI GOLD PLC,unknown
SRC,SIGMAROC PLC,unknown
SRP,SERCO GROUP PLC,Q499104
SRT,SRT MARINE SYSTEMS PLC,unknown
SSE,SSE PLC,unknown
STAF,STAFFLINE GROUP PLC,unknown
STAN,STANDARD CHARTERED PLC,Q548278
STAR,STAR ENERGY GROUP PLC,unknown
STB,SECURE TRUST BANK PLC,Q21008565
STCM,STEPPE CEMENT LTD,unknown
STEM,STHREE PLC,unknown
STJ,ST JAMES'S PLACE PLC,unknown
STM,STM GROUP PLC,unknown
STVG,STV GROUP PLC,unknown
SUH,SUTTON HARBOUR GROUP PLC,unknown
SUS,S & U PLC,Q115167571
SVS,SAVILLS PLC,Q10458056
SVT,SEVERN TRENT PLC,Q503077
SWG,SHEARWATER GROUP PLC,unknown
SWR,SMURFIT WESTROCK PLC,unknown
SXS,SPECTRIS PLC,Q7575238
SYNT,SYNTHOMER PLC,Q7662796
SYS1,SYSTEM1 GROUP,unknown
TAN,TANFIELD GROUP PLC,unknown
TAST,TASTY PLC,unknown
TATE,TATE & LYLE PLC,Q2395492
TCAP,TP ICAP GROUP PLC,Q115167340
TEP,TELECOM PLUS PLC,Q7695821
TET,TREATT PLC,unknown
TFW,THORPE (F.W.) PLC,unknown
THAL,THALASSA HOLDINGS LTD,unknown
THR,THOR ENERGY PLC,unknown
THRU,THRUVISION GROUP PLC,unknown
TIA,TIALIS ESSENTIAL IT PLC.,unknown
TIDE,CRIMSON TIDE PLC,unknown
TIME,TIME FINANCE PLC,unknown
TLW,TULLOW OIL PLC,Q3541981
TLY,TOTALLY PLC,unknown
TMG,MISSION GROUP PLC,unknown
TND,TANDEM GROUP PLC,unknown
TON,TITON HOLDINGS PLC,unknown
TPK,TRAVIS PERKINS PLC,Q2450664
TPT,TOPPS TILES PLC,unknown
TRAK,TRAKM8 HOLDINGS PLC,unknown
TRB,TRIBAL GROUP PLC,Q7840302
TRCS,TRACSIS PLC,unknown
TRD,TRIAD GROUP PLC,unknown
TRI,TRIFAST PLC,Q115167297
TRIN,TRINITY EXPLORATION & PRODUC,unknown
TRT,TRANSENSE TECHNOLOGIES PLC,unknown
TRX,TISSUE REGENIX GROUP PLC,unknown
TSCO,TESCO PLC,Q487494
TST,TOUCHSTAR PLC,unknown
TSTL,TRISTEL PLC,unknown
TTG,TT ELECTRONICS PLC,unknown
TYT,TOYOTA MOTOR CORP,unknown
ULVR,UNILEVER PLC,Q157062
URU,URU METALS LTD,unknown
USY,UNISYS CORP,unknown
VAL,VALIRX PLC,unknown
VANQ,VANQUIS BANKING GROUP PLC,unknown
VAST,VAST RESOURCES PLC,unknown
VCP,VICTORIA PLC,unknown
VCT,VICTREX PLC,Q7927590
VID,VIDENDUM PLC,unknown
VLE,VOLVERE PLC,unknown
VLX,VOLEX PLC,Q40549130
VNET,VIANET GROUP PLC,unknown
VOD,VODAFONE GROUP PLC,Q122141
VSVS,VESUVIUS PLC,unknown
VTU,VERTU MOTORS PLC,unknown
VTY,VISTRY GROUP PLC,unknown
WATR,WATER INTELLIGENCE PLC,unknown
WBI,WOODBOIS LTD,unknown
WCW,WALKER CRIPS GROUP PLC,Q115167272
WEIR,WEIR GROUP PLC/THE,unknown
WHI,W.H. IRELAND GROUP PLC,unknown
WIL,WILMINGTON PLC,unknown
WINE,NAKED WINES PLC,unknown
WINK,M WINKWORTH PLC,unknown
WPP,WPP PLC,unknown
WSBN,WISHBONE GOLD PLC,unknown
WSG,WESTMINSTER GROUP PLC,unknown
WSP,WYNNSTAY PROPERTIES PLC,unknown
WTB,WHITBREAD PLC,Q1435702
WYN,WYNNSTAY GROUP PLC,Q63016351
XAR,XAAR PLC,unknown
XPP,XP POWER LTD,unknown
YNGA,YOUNG & CO'S BREWERY PLC - A,unknown
YNGN,YOUNG & CO'S BREWERY PLC -NV,unknown
YOU,YOUGOV PLC,unknown
ZAM,ZAMBEEF PRODUCTS PLC,unknown
ZIN,ZINC MEDIA GROUP PLC,unknown
ZOO,ZOO DIGITAL GROUP PLC,unknown
ZTF,ZOTEFOAMS PLC,unknown
ZYT,ZYTRONIC PLC,unknown
